50 Cent: Bulletproof,50 Cent: Bulletproof,Australia,Banned due to high impact gory violence. A censored version was later released.
Assassin's Creed,Assassin's Creed,Saudi Arabia,Was banned (for two weeks) because of perceived negative portrayal of Arabs
Battlefield III,Battlefield,Iran,Banned due to the intense battles of the fictional US invasion on Tehran as well as on the intense battle on the Grand Bazaar. Already prior to the ban many retail stores were removing copies of the said game from the shelves.
Battlefield IV,Battlefield,China,Banned due to the discrediting of China's national image as well as a threat to national security in which the Chinese Ministry claims that the game shows it a cultural invasion. 
BlazBlue II: Continuum Shift,BlazBlue,United Arab Emirates,Banned likely due to suggestive and revealing outfits on some characters.
Blitz I: The League,Blitz,Australia,Banned due to drug use related to incentives and rewards.
Blood,Blood,Brazil,Banned because of high impact violence.
BMX XXX,BMX XXX,Australia,Banned for high impact sexual references.A censored version was later released.
Bully,Bully,Brazil,Banned for showing violence and harassment in a school setting.
Call of Duty IV: Modern Warfare,Call of Duty,Saudi Arabia,Banned for a few weeks
Call of Duty IV: Modern Warfare,Call of Duty,United Arab Emirates,Banned possibly due to violence against Muslims. The ban has since been lifted.
Call of Duty: Black Ops II,Call of Duty,Pakistan,Banned for portraying Pakistanis negatively.
Carmageddon,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.
Carmageddon,Carmageddon,United Kingdom,Was threatened with being refused certification in its uncut form. Was subsequently altered to replace humans with zombies. The restriction was later lifted and a patch was released to restore the original human content.
Carmageddon II: Carpocalypse Now,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.
Catherine,Catherine,United Arab Emirates,Banned likely due to sexual themes and nudity.
Command & Conquer Generals,Command & Conquer Generals,China,Banned for smearing the image of China and the Chinese army despite the fact that the game presents China as a quasi-protagonist. Additionally the GLA campaign has the player destroy questionable targets such as the Three Gorges Dam and the Hong Kong Convention and Exhibition Centre.
Commandos I: Behind Enemy Lines,Commandos,Germany,Was banned because of Nazi references.
Condemned I: Criminal Origins,Condemned,Germany,Banned because of high impact violence and cruelty.
Condemned II: Bloodshot,Condemned,Germany,Banned because of high impact violence and cruelty.
Counter-Strike,Counter-Strike,Brazil,Banned because of high impact violence. The ban was later lifted and game is now being sold once again.
Dante's Inferno,Dante's Inferno,Malaysia,Cruelty hellish visions sexuality and content that was against Sharia.
Dark Sector,Dark Sector,Australia,Banned because of high impact gory violence involving mutilations. A censored version was later released.
Darksiders,Darksiders,United Arab Emirates,Banned likely due to contradicting with customs and traditions. Its sequel which feature similar themes was released without issues however and even had a localised print release for the PlayStation 3 version.
Dead Island,Dead Island,United Arab Emirates,Banned likely due to extreme depictions of violence and scantily-clad game characters. Ban did not extend to digital versions of the games however.
Dead Island: Riptide,Dead Island,United Arab Emirates,Banned likely due to extreme depictions of violence and scantily-clad game characters. Ban did not extend to digital versions of the games however.
Dead Rising,Dead Rising,Germany,Banned because of high impact violence and cruelty.
